City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Surat,Adajan,Residential,8000000,Semi-Furnished,3,3,"Individual,Room-attached",0,0,0,3,2100.0,Gujarat,Built-up Area
Surat,Narthan,Residential,7600000,Furnished,3,2,Individual,0,0,0,1,2700.0,Gujarat,Carpet Area
Surat,Green Citylight,Residential,55000000,Furnished,5,4,Connected,0,0,0,3,5000.0,Gujarat,Built-up Area
Surat,Vesu,Residential,23231647,Unfurnished,3,3,Individual,0,0,0,1,2560.0,Gujarat,Built-up Area
Surat,Adarsh Society,Commercial,0,Unfurnished,0,0,No Balcony,0,0,0,0,4725.0,Gujarat,Plot Area
Surat,Dindoli,Residential,6840000,Unfurnished,3,4,Individual,1,1,1,2,2736.0,Gujarat,Built-up Area
Surat,Bhatar,Residential,4351000,Semi-Furnished,2,2,Individual,0,0,0,1,1365.0,Gujarat,Carpet Area
Surat,Surat Railway Station,Residential,14500000,Unfurnished,4,3,"Connected,Individual,Room-attached",0,0,1,2,2250.0,Gujarat,Built-up Area
Surat,Ghod Dod Road,Residential,80000000,Unfurnished,3,3,Individual,0,0,0,0,5220.0,Gujarat,Plot Area
Surat,Vesu,Residential,34500000,Unfurnished,4,4,Individual,0,0,0,1,5553.0,Gujarat,Built-up Area
Surat,City Light,Residential,14000000,Furnished,3,3,Individual,0,0,0,3,2000.0,Gujarat,Carpet Area
Surat,City Light,Residential,18000000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,2,1026.0,Gujarat,Built-up Area
Surat,Jahangir Pura,Residential,6200000,Furnished,2,3,Connected,0,0,0,1,1215.0,Gujarat,Built-up Area
Surat,Rander Road,Residential,8000000,Semi-Furnished,5,5,Individual,0,0,0,3,800.0,Gujarat,Carpet Area
Surat,Olpad Sayan Road,Residential,2851000,Unfurnished,3,3,Room-attached,0,0,1,1,801.0,Gujarat,Built-up Area
Surat,Textile Market,Commercial,0,Unfurnished,0,0,Room-attached,0,0,0,2,14220.0,Gujarat,Built-up Area
Surat,Masma,Residential,1636000,Unfurnished,3,3,Individual,0,0,0,0,918.0,Gujarat,Plot Area
Surat,Masma,Residential,2800000,Unfurnished,2,2,Connected,1,1,1,1,560.0,Gujarat,Built-up Area
Surat,Jahangirabad,Residential,8100000,Semi-Furnished,3,4,Room-attached,0,0,1,1,648.0,Gujarat,Built-up Area
Surat,Olpad Sayan Road,Residential,1300000,Unfurnished,1,1,Individual,1,1,1,0,504.0,Gujarat,Built-up Area
Surat,Masma,Residential,3200000,Semi-Furnished,3,3,Connected,0,0,0,3,900.0,Gujarat,Built-up Area
Surat,Pal,Residential,7500000,Furnished,2,3,Individual,0,0,0,4,504.0,Gujarat,Carpet Area
Surat,Piplod,Residential,32500000,Semi-Furnished,4,4,Individual,0,0,0,3,5000.0,Gujarat,Built-up Area
Surat,Olpad,Residential,2031000,Unfurnished,1,1,Individual,0,0,1,1,1200.0,Gujarat,Built-up Area
Surat,Olpad Sayan Road,Residential,1981000,Unfurnished,2,2,Individual,0,0,1,1,800.0,Gujarat,Built-up Area
Surat,Piplod,Residential,18000000,Semi-Furnished,5,5,Connected,0,0,0,2,1323.0,Gujarat,Saleable Area
Surat,Ghod Dod Road,Residential,5000000,Unfurnished,2,2,Room-attached,0,0,0,1,1100.0,Gujarat,Built-up Area
Surat,Kamrej,Residential,9600000,Furnished,2,2,Individual,0,0,0,2,310.0,Gujarat,Built-up Area
Surat,Ghod Dod Road,Residential,35000000,Unfurnished,5,4,"Connected,Individual",0,0,0,4,5000.0,Gujarat,Built-up Area
Surat,Masma,Residential,2500000,Unfurnished,2,3,Room-attached,0,0,1,1,800.0,Gujarat,Built-up Area
Surat,Ghod Dod Road,Residential,70000000,Furnished,5,5,"Connected,Individual,Room-attached",0,0,0,3,3105.0,Gujarat,Built-up Area
Surat,Piplod,Residential,56300000,Semi-Furnished,4,4,"Connected,Room-attached",0,0,0,3,4059.0,Gujarat,Built-up Area
Surat,Adajan,Residential,1901000,Furnished,1,1,Individual,0,0,0,1,750.0,Gujarat,Saleable Area
Surat,Vesu,Residential,30000000,Unfurnished,4,4,"Connected,Individual,Room-attached",1,0,1,3,1665.0,Gujarat,Built-up Area
Surat,Jahangirabad,Residential,8100000,Furnished,3,2,Connected,0,0,0,1,2084.0,Gujarat,Carpet Area
Surat,Amroli,Residential,3500000,Furnished,3,3,Room-attached,0,0,0,3,1287.0,Gujarat,Built-up Area
Surat,Ghod Dod Road,Residential,19900000,Unfurnished,4,3,"Connected,Individual,Room-attached",0,0,1,2,1620.0,Gujarat,Built-up Area
Surat,Karadva Gam,Residential,14500000,Furnished,3,2,Individual,0,0,0,1,5562.0,Gujarat,Carpet Area
