City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Chandigarh,North Mullanpur,Residential,7500000,Unfurnished,3,2,Connected,1,0,1,1,1180.0,Built-up Area,Chandigarh
Chandigarh,Ambala Highway,Residential,12000000,Semi-Furnished,3,3,Room-attached,0,0,0,1,1800.0,Saleable Area,Chandigarh
Chandigarh,Aerocity,Residential,15100000,Semi-Furnished,3,3,Room-attached,0,0,0,2,2050.0,Built-up Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,15100000,Semi-Furnished,3,4,Room-attached,0,0,0,3,2107.0,Built-up Area,Chandigarh
Chandigarh,KharaR-Banur Road,Residential,6090000,Semi-Furnished,3,2,"Connected,Individual,Room-attached",0,0,0,2,1350.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,7200000,Semi-Furnished,3,2,Room-attached,0,1,1,1,1180.0,Built-up Area,Chandigarh
Chandigarh,Sector 47,Residential,2700000,Unfurnished,1,1,Room-attached,0,0,0,1,900.0,Built-up Area,Chandigarh
Chandigarh,Central Derabassi,Residential,2390000,Unfurnished,3,3,Room-attached,1,0,0,0,900.0,Plot Area,Chandigarh
Chandigarh,Mullanpur,Residential,29800000,Furnished,5,5,"Connected,Room-attached",0,0,0,2,4507.0,Built-up Area,Chandigarh
Chandigarh,North Mullanpur,Residential,13400000,Semi-Furnished,3,4,"Connected,Individual,Room-attached",0,0,0,2,1780.0,Built-up Area,Chandigarh
Chandigarh,Sector 39,Residential,3600000,Semi-Furnished,3,3,"Connected,Individual",0,0,0,0,1350.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,10500000,Furnished,3,3,"Connected,Room-attached",0,0,0,2,1610.0,Built-up Area,Chandigarh
Chandigarh,Bir Chhat,Residential,11300000,Semi-Furnished,3,3,Room-attached,0,0,0,2,1640.0,Built-up Area,Chandigarh
Chandigarh,Chandigarh Airport,Residential,8000000,Unfurnished,3,3,Room-attached,0,0,1,0,900.0,Plot Area,Chandigarh
Chandigarh,Ambala Highway,Residential,36523609,Semi-Furnished,3,4,Room-attached,0,0,0,2,1870.0,Built-up Area,Chandigarh
