City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),Area Type,State
Bangalore,Kodichikkanahalli,Apartment,7000000.0,Unfurnished,3,2,Connected,1,0,0,0,1500.0,Area,Karnatka
Bangalore,Veerannapalya,Builder Floor,6500000.0,Unfurnished,2,2,Connected,0,1,1,0,1270.0,Area,Karnatka
Bangalore,Bagaluru,Apartment,15000000.0,Unfurnished,3,3,Connected,1,1,1,0,1277.0,Area,Karnatka
Bangalore,Budigere,Apartment,20500000.0,Unfurnished,2,3,"Connected,Individual,Room-attached",0,0,0,0,1820.0,Area,Karnatka
Bangalore,Hosahalli,Apartment,20700000.0,Unfurnished,3,2,Connected,0,1,1,0,1834.0,Area,Karnatka
Bangalore,Hebbal,Apartment,42500000.0,Unfurnished,4,4,"Individual,Room-attached",0,0,0,0,2400.0,Area,Karnatka
Bangalore,Rajarajeshwari Nagar,Apartment,6500000.0,Unfurnished,2,2,Connected,0,0,0,0,1350.0,Area,Karnatka
Bangalore,Banaswadi,Apartment,12400000.0,Unfurnished,3,2,Individual,0,0,1,0,1434.0,Area,Karnatka
Bangalore,Old Madras Road,Apartment,15000000.0,Unfurnished,2,2,Connected,0,0,0,0,1404.0,Area,Karnatka
Bangalore,Hosur Road,Apartment,23000000.0,Unfurnished,2,2,Connected,0,0,0,0,1345.0,Area,Karnatka
Bangalore,Thanisandra Main Road,Apartment,70000000.0,Unfurnished,4,4,Individual,0,0,0,0,4209.0,Area,Karnatka
Bangalore,Mg Road,Apartment,95000000.0,Unfurnished,4,4,Connected,0,0,0,0,4887.0,Area,Karnatka
Bangalore,Sampangi Rama Nagar,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,1,0,0,0,1200.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,21000000.0,Unfurnished,3,3,Connected,0,0,0,0,2000.0,Area,Karnatka
Bangalore,Bannerghatta Road,Apartment,31000000.0,Unfurnished,3,2,Connected,0,0,0,0,2250.0,Area,Karnatka
Bangalore,Budigere,Apartment,20500000.0,Unfurnished,3,3,"Individual,Room-attached",0,0,0,0,1820.0,Area,Karnatka
Bangalore,Shanti Nagar,Builder Floor,18000000.0,Unfurnished,3,3,Connected,0,0,0,0,2000.0,Area,Karnatka
Bangalore,Whitefield,Apartment,15900000.0,Unfurnished,2,2,Individual,0,0,0,0,1047.0,Area,Karnatka
Bangalore,Subramanyapura,Plot,21595867.1294001,Unfurnished,0,0,No Balcony,1,0,0,0,1200.0,Area,Karnatka
Bangalore,Yelahanka,Apartment,5000000.0,Unfurnished,2,2,Individual,1,1,1,0,1138.0,Area,Karnatka
Bangalore,Hosur Road,Apartment,23500000.0,Unfurnished,3,2,Connected,0,0,0,0,1755.0,Area,Karnatka
Bangalore,Devanahalli,Apartment,10000000.0,Unfurnished,2,2,Individual,1,1,1,0,1125.0,Area,Karnatka
Bangalore,Bagaluru,Apartment,9500000.0,Unfurnished,2,2,Connected,1,1,1,0,988.0,Area,Karnatka
