City,Locality,Property Type,Price,Furnishing Status,Number of Rooms,Number of Bathroom,Balcony,Clubhouse,Swimming Pool,"""Kids Play Areas""",Parking,Area (Sq.Ft.),State,Area Type
Greater Noida,Pi I And ii,Residential,8500000,Semi-Furnished,2,2,"Individual,Room-attached",0,0,0,1,1200.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16c,Residential,11400000,Semi-Furnished,2,2,Connected,0,0,0,2,811.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 10,Residential,9200000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,2,920.0,Uttar Pradesh,Saleable Area
Greater Noida,Upsidc Site B,Residential,900000,Unfurnished,2,2,Connected,0,0,0,0,450.0,Uttar Pradesh,Plot Area
Greater Noida,Noida Ext Sector 2,Residential,9000000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,1185.0,Uttar Pradesh,Saleable Area
Greater Noida,Gn Sector Alpha ii,Residential,12000000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,1,1450.0,Uttar Pradesh,Built-up Area
Greater Noida,Dhoom Manikpur,Residential,2500000,Unfurnished,2,2,Room-attached,0,0,0,2,540.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 16,Residential,6600000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,1,915.0,Uttar Pradesh,Carpet Area
Greater Noida,Noida Ext Tech Zone 4,Residential,8750000,Furnished,2,2,Connected,0,0,0,2,1127.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 16c,Residential,8600000,Semi-Furnished,2,2,Room-attached,0,0,0,1,1190.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Tech Zone 4,Residential,9280000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,1160.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Tech Zone 4,Residential,5800000,Unfurnished,2,2,Individual,1,1,1,1,885.0,Uttar Pradesh,Saleable Area
Greater Noida,Gn Sector Chi V,Residential,6265000,Semi-Furnished,2,2,Connected,0,0,0,1,1000.0,Uttar Pradesh,Saleable Area
Greater Noida,Gaur City 2,Residential,935000000,Furnished,3,2,Connected,0,0,0,3,1250.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 1,Residential,9200000,Unfurnished,2,2,Room-attached,0,0,0,2,1075.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16b,Residential,8500000,Semi-Furnished,2,2,Connected,0,0,0,2,1095.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16b,Residential,17500000,Unfurnished,4,4,"Connected,Individual,Room-attached",1,0,0,1,2400.0,Uttar Pradesh,Built-up Area
Greater Noida,Gn Sector Eta ii,Residential,7200000,Unfurnished,3,2,Individual,0,1,1,1,1075.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 2,Residential,8500000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,1060.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Tech Zone 4,Residential,50000000,Unfurnished,5,3,Connected,1,0,1,3,6980.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 16b,Residential,7800000,Semi-Furnished,2,2,"Individual,Room-attached",0,0,0,2,1140.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Tech Zone 4,Residential,266400000,Furnished,2,2,Connected,0,0,0,2,648.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 16,Residential,7000000,Semi-Furnished,2,2,Room-attached,0,0,0,1,915.0,Uttar Pradesh,Carpet Area
Greater Noida,Noida Ext Sector 16b,Residential,11000000,Unfurnished,2,2,"Connected,Individual,Room-attached",1,1,1,1,1220.0,Uttar Pradesh,Saleable Area
Greater Noida,Gn Sector Zeta I,Residential,4500000,Semi-Furnished,1,1,Individual,0,0,0,1,700.0,Uttar Pradesh,Saleable Area
Greater Noida,Gn Sector Chi V,Residential,5800000,Furnished,1,1,"Individual,Room-attached",0,0,0,0,611.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16,Residential,7950000,Furnished,2,2,Connected,0,0,0,3,1105.0,Uttar Pradesh,Built-up Area
Greater Noida,Gn Sector Omicron I,Residential,8200000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,1,1302.4319,Uttar Pradesh,Built-up Area
Greater Noida,Tilpata Karanwas,Residential,3000000,Furnished,2,2,Connected,0,0,0,2,540.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 10,Residential,6900000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,965.0,Uttar Pradesh,Saleable Area
Greater Noida,Vaidpura,Residential,6200000,Semi-Furnished,2,2,Room-attached,0,0,0,2,534.0,Uttar Pradesh,Saleable Area
Greater Noida,Saini,Residential,25100000,Semi-Furnished,3,3,"Connected,Individual,Room-attached",0,0,0,2,2290.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16,Residential,9000000,Semi-Furnished,2,2,Connected,0,0,0,3,1180.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 16c,Residential,7500000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,1010.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 1,Residential,4800000,Semi-Furnished,1,1,"Connected,Room-attached",0,0,0,1,625.0,Uttar Pradesh,Built-up Area
Greater Noida,Noida Ext Sector 1,Residential,9600000,Semi-Furnished,2,2,"Connected,Individual,Room-attached",0,0,0,2,1050.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 10,Residential,11600000,Furnished,2,2,Connected,0,0,0,0,1165.0,Uttar Pradesh,Saleable Area
Greater Noida,Panchsheel Green,Residential,6800000,Unfurnished,2,2,"Connected,Room-attached",0,1,1,1,890.0,Uttar Pradesh,Saleable Area
Greater Noida,Noida Ext Sector 1,Residential,12500000,Semi-Furnished,2,2,"Connected,Room-attached",0,0,0,1,1245.0,Uttar Pradesh,Saleable Area
